run_id,job_name,sample_family,collection_params_hash,collector_version,schema_version,request_provenance_version,provenance_source,provenance_level,partial_reason,request_started_at_utc,request_finished_at_utc,request_order_in_run,request_order_in_sweep,snapshot_hour_utc,date_utc,viewer_mode,vantage_id,host_kind,host,endpoint,feed_uri,page_no,cursor_in,cursor_out,depth_requested,depth_returned,http_status,retry_count,response_hash,error_class
bae1f79ff50640b89f86b6979d5e50ba,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T00:27:26Z,,27,27,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,100,,,,
bae1f79ff50640b89f86b6979d5e50ba,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T00:27:27Z,,28,28,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,200,,,,
bae1f79ff50640b89f86b6979d5e50ba,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T00:27:28Z,,29,29,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,150,,,,
bae1f79ff50640b89f86b6979d5e50ba,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T00:27:29Z,,30,30,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,175,,,,
bae1f79ff50640b89f86b6979d5e50ba,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T00:27:30Z,,31,31,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,150,,,,
bae1f79ff50640b89f86b6979d5e50ba,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T00:27:31Z,,32,32,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,175,,,,
bae1f79ff50640b89f86b6979d5e50ba,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T00:27:32Z,,33,33,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,174,,,,
bae1f79ff50640b89f86b6979d5e50ba,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T00:27:33Z,,34,34,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,175,,,,
bae1f79ff50640b89f86b6979d5e50ba,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T00:27:34Z,,35,35,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,99,,,,
bae1f79ff50640b89f86b6979d5e50ba,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T00:27:35Z,,36,36,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,125,,,,
bae1f79ff50640b89f86b6979d5e50ba,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T00:27:36Z,,37,37,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,149,,,,
bae1f79ff50640b89f86b6979d5e50ba,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T00:27:37Z,,38,38,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,200,,,,
bae1f79ff50640b89f86b6979d5e50ba,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T00:27:38Z,,39,39,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,223,,,,
bae1f79ff50640b89f86b6979d5e50ba,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T00:27:39Z,,40,40,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,100,,,,
bae1f79ff50640b89f86b6979d5e50ba,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T00:27:40Z,,41,41,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,175,,,,
bae1f79ff50640b89f86b6979d5e50ba,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T00:27:41Z,,42,42,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,175,,,,
bae1f79ff50640b89f86b6979d5e50ba,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T00:27:42Z,,43,43,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,150,,,,
bae1f79ff50640b89f86b6979d5e50ba,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T00:27:43Z,,44,44,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,150,,,,
bae1f79ff50640b89f86b6979d5e50ba,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T00:27:44Z,,45,45,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,100,,,,
bae1f79ff50640b89f86b6979d5e50ba,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T00:27:45Z,,46,46,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,131,,,,
61ee33a441cd4a0eb3d42735ae84ee02,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T03:27:23Z,,47,47,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,105,,,,
61ee33a441cd4a0eb3d42735ae84ee02,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T03:27:24Z,,48,48,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,149,,,,
61ee33a441cd4a0eb3d42735ae84ee02,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T03:27:25Z,,49,49,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,174,,,,
61ee33a441cd4a0eb3d42735ae84ee02,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T03:27:26Z,,50,50,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,150,,,,
61ee33a441cd4a0eb3d42735ae84ee02,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T03:27:27Z,,51,51,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,150,,,,
61ee33a441cd4a0eb3d42735ae84ee02,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T03:27:28Z,,52,52,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,175,,,,
61ee33a441cd4a0eb3d42735ae84ee02,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T03:27:29Z,,53,53,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,175,,,,
61ee33a441cd4a0eb3d42735ae84ee02,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T03:27:30Z,,54,54,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,125,,,,
61ee33a441cd4a0eb3d42735ae84ee02,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T03:27:31Z,,55,55,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,125,,,,
61ee33a441cd4a0eb3d42735ae84ee02,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T03:27:32Z,,56,56,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,150,,,,
61ee33a441cd4a0eb3d42735ae84ee02,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T03:27:33Z,,57,57,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,174,,,,
61ee33a441cd4a0eb3d42735ae84ee02,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T03:27:34Z,,58,58,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,150,,,,
61ee33a441cd4a0eb3d42735ae84ee02,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T03:27:35Z,,59,59,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,149,,,,
61ee33a441cd4a0eb3d42735ae84ee02,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T03:27:36Z,,60,60,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,174,,,,
61ee33a441cd4a0eb3d42735ae84ee02,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T03:27:37Z,,61,61,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,150,,,,
61ee33a441cd4a0eb3d42735ae84ee02,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T03:27:38Z,,62,62,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,17,,,,
21168e1921184c3aa9b124b06e7b413b,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T06:27:46Z,,63,63,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,150,,,,
21168e1921184c3aa9b124b06e7b413b,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T06:27:47Z,,64,64,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,200,,,,
21168e1921184c3aa9b124b06e7b413b,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T06:27:48Z,,65,65,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,199,,,,
21168e1921184c3aa9b124b06e7b413b,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T06:27:49Z,,66,66,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,174,,,,
21168e1921184c3aa9b124b06e7b413b,hydrate-authors,author_profile_hydration,7db42ad3214dd4b8,,,,legacy_author_profiles,partial,"legacy backfill reconstructed from author_profiles; host, finished_at, retries, and hashes are unavailable",2026-03-06T06:27:50Z,,67,67,,2026-03-06,unauth,unauth_enUS,public_appview,,app.bsky.actor.getProfiles,,0,,,,199,,,,
