starterpack_uri,slot_index,feed_uri
at://did:plc:k4ygxco5hestlipl4dfvlenl/app.bsky.graph.starterpack/3lml4kcdjnq2s,0,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/with-friends
at://did:plc:k4ygxco5hestlipl4dfvlenl/app.bsky.graph.starterpack/3lml4kcdjnq2s,1,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/bsky-team
at://did:plc:k4ygxco5hestlipl4dfvlenl/app.bsky.graph.starterpack/3lml4kcdjnq2s,2,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/hot-classic
at://did:plc:k4ygxco5hestlipl4dfvlenl/app.bsky.graph.starterpack/3lmpxctkdel2e,0,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/with-friends
at://did:plc:k4ygxco5hestlipl4dfvlenl/app.bsky.graph.starterpack/3lmpxctkdel2e,1,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/bsky-team
at://did:plc:k4ygxco5hestlipl4dfvlenl/app.bsky.graph.starterpack/3lmpxctkdel2e,2,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/hot-classic
at://did:plc:k4ygxco5hestlipl4dfvlenl/app.bsky.graph.starterpack/3lmqhnbk3ns2f,0,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/with-friends
at://did:plc:k4ygxco5hestlipl4dfvlenl/app.bsky.graph.starterpack/3lmqhnbk3ns2f,1,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/bsky-team
at://did:plc:k4ygxco5hestlipl4dfvlenl/app.bsky.graph.starterpack/3lmqhnbk3ns2f,2,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/hot-classic
at://did:plc:k4ygxco5hestlipl4dfvlenl/app.bsky.graph.starterpack/3lmsfcmuuiu2c,0,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/with-friends
at://did:plc:k4ygxco5hestlipl4dfvlenl/app.bsky.graph.starterpack/3lmsfcmuuiu2c,1,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/bsky-team
