2026-03-03T21:20:10Z INFO bsky_collector_v2: out_base ok path=D:\BlueSky\data_v2_full mount=D:\
2026-03-03T21:20:10Z INFO bsky_collector_v2: job start subcommand=index-feed-generators dry_run=False resume=True
2026-03-03T21:49:36Z INFO bsky_collector_v2.job.index_feed_generators: indexed repo=did:plc:wea6jb64itd4gxtfqwmsa6ly part=600 records=1 next_cursor=set
2026-03-03T21:49:49Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:2fvltsxemha4zx5gqyeg7sxx err=HttpError('InvalidRequest: Could not find repo: did:plc:2fvltsxemha4zx5gqyeg7sxx')
2026-03-03T21:50:21Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:2qrhtiee6w5f7vakcxbrn3tg err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:50:54Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:44wyxnuclhblfwhzqgcwv4io err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:51:27Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:7x4u45wuo7xuv34m5yngktg2 err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:52:00Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:bzsjzug7c7diihxrz353kgrd err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:52:32Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:c4tlmq2t2i52wd5asd3c7b2v err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:53:05Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:c7da673oa44bakfvmmaqhwmi err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:53:38Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:fm4oaxjootjy4tn7lggab6ju err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:54:11Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:fts6n7s2uwi7bfsuvny7mks2 err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:54:11Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:iiyf2ri7soge4ucrjkxs6trb err=HttpError('InvalidRequest: Could not find repo: did:plc:iiyf2ri7soge4ucrjkxs6trb')
2026-03-03T21:54:43Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:imoqkg25v5wr7bjd5yfqkwwu err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:55:16Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:mznsl5ggt77smlhaodt3sizp err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:55:49Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:ogxyrjw55oiph7cubqr3vmwu err=HttpError('InternalServerError: Internal Server Error')
