context_id,scheduled_window_start_utc,scheduled_window_end_utc,viewer_mode,vantage_id,feed_uri,bucket,cluster_text,riskset_size,context_total_y,shown_count,zero_exposure_count,gap_equal,gap_timing_residual
785,2026-03-22T09:00:00Z,2026-03-22T09:10:00Z,unauth,unauth,at://did:plc:yw5jldlnuker4mb7ttyqephb/app.bsky.feed.generator/aaabgn53jpxru,popular_by_likecount,www.theguardian.com/world/2026/m...,6,0.20184908658209985,1,5,0.8333333333333335,0.9787298802695117
780,2026-03-22T08:40:00Z,2026-03-22T08:50:00Z,unauth,unauth,at://did:plc:yw5jldlnuker4mb7ttyqephb/app.bsky.feed.generator/aaabgn53jpxru,popular_by_likecount,www.theguardian.com/world/2026/m...,6,0.2037950470905062,1,5,0.8333333333333335,0.9780132168543219
766,2026-03-22T07:40:00Z,2026-03-22T07:50:00Z,unauth,unauth,at://did:plc:yw5jldlnuker4mb7ttyqephb/app.bsky.feed.generator/aaabgn53jpxru,popular_by_likecount,www.theguardian.com/world/2026/m...,6,0.2103099178571525,1,5,0.8333333333333335,0.9755181940393292
751,2026-03-22T06:40:00Z,2026-03-22T06:50:00Z,unauth,unauth,at://did:plc:yw5jldlnuker4mb7ttyqephb/app.bsky.feed.generator/aaabgn53jpxru,popular_by_likecount,www.theguardian.com/world/2026/m...,6,0.21533827903669653,1,5,0.8333333333333335,0.9725621656853503
743,2026-03-22T06:20:00Z,2026-03-22T06:30:00Z,auth,auth,at://did:plc:yw5jldlnuker4mb7ttyqephb/app.bsky.feed.generator/aaabgn53jpxru,popular_by_likecount,www.theguardian.com/world/2026/m...,6,0.21274605355336318,1,5,0.8333333333333335,0.9715584541261167
733,2026-03-22T05:40:00Z,2026-03-22T05:50:00Z,auth,auth,at://did:plc:yw5jldlnuker4mb7ttyqephb/app.bsky.feed.generator/aaabgn53jpxru,popular_by_likecount,www.theguardian.com/world/2026/m...,6,0.21533827903669653,1,5,0.8333333333333335,0.9699304231607305
2032,2026-03-30T03:00:00Z,2026-03-30T03:10:00Z,unauth,unauth,at://did:plc:tpsmmglg2coilcnma7cuhk54/app.bsky.feed.generator/aaag7pqa723cq,longtail_random,bsky.app/profile/did:...,3,0.38316925091363363,2,1,0.3333333333333333,0.9686471978580967
1911,2026-03-29T20:20:00Z,2026-03-29T20:30:00Z,auth,auth,at://did:plc:yrik5xcaq3llxbdxnwtukf24/app.bsky.feed.generator/aaaeno5rq5xro,popular_by_likecount,okay,2,0.31546487678572877,1,1,0.5,0.9671811078212111
130,2026-03-19T19:10:00Z,2026-03-19T19:20:00Z,auth,auth,at://did:plc:pl6xzfojygthmdwlsbo5bcls/app.bsky.feed.generator/aaabgeoafvxb2,longtail_random,commission,3,0.19342640361727081,1,2,0.6666666666666667,0.9488418916617332
1972,2026-03-29T23:40:00Z,2026-03-29T23:50:00Z,auth,auth,at://did:plc:4ohogodxdernofx3m6lhcd2a/app.bsky.feed.generator/aaanejfp2tgzs,popular_by_likecount,'hilfsmittel' #fotovorschlag,5,0.24465054211822604,1,4,0.8,0.9470897989419632
