context_id,scheduled_window_start_utc,scheduled_window_end_utc,viewer_mode,vantage_id,feed_uri,bucket,cluster_text,riskset_size,context_total_y,shown_count,zero_exposure_count,gap_equal,gap_timing_residual,gap_full_residual
33257,2026-03-26T10:00:00Z,2026-03-26T10:10:00Z,unauth,unauth,at://did:plc:vj6d7kxk27mboj7nncpqfafk/app.bsky.feed.generator/aaan3a6xlzcro,popular_by_likecount,post a non-religious picture you think of as holy,44,0.18428883314870617,1,43,0.9772727272727272,0.9878442950315324,0.987611619689122
310,2026-03-19T07:10:00Z,2026-03-19T07:20:00Z,unauth,unauth,at://did:plc:l5jiby72q4dqks6vbtiqkeio/app.bsky.feed.generator/aaadshsbo7m2o,longtail_random,post a gif of who you wanted to be as a kid,10,0.21533827903669653,1,9,0.9000000000000001,0.987527050417723,0.9882980550350039
31801,2026-03-26T03:20:00Z,2026-03-26T03:30:00Z,unauth,unauth,at://did:plc:p7cq6edupmqugrinomiuju6u/app.bsky.feed.generator/aaaioyqcva6ak,longtail_random,post a non-religious picture you think of as holy,23,0.20584683246043448,1,22,0.9565217391304346,0.9874727149627771,0.9885907841267865
17503,2026-03-22T10:10:00Z,2026-03-22T10:20:00Z,auth,auth,at://did:plc:ojisdwhv5b7tzitkipo3yx3f/app.bsky.feed.generator/aaao3rw3oxwku,popular_by_likecount,'zahlen: drei' #fotovorschlag,56,0.3010299956639812,1,55,0.982142857142857,0.9873439901818806,0.9871880010761636
359,2026-03-19T07:30:00Z,2026-03-19T07:40:00Z,auth,auth,at://did:plc:l5jiby72q4dqks6vbtiqkeio/app.bsky.feed.generator/aaadshsbo7m2o,longtail_random,post a gif of who you wanted to be as a kid,10,0.2103099178571525,1,9,0.9000000000000001,0.9871593193716398,0.9879313313110645
31459,2026-03-26T01:50:00Z,2026-03-26T02:00:00Z,unauth,unauth,at://did:plc:oschakwegjlboctmgutqtyf6/app.bsky.feed.generator/aaacyaeibxzis,popular_by_likecount,post a non-religious picture you think of as holy,19,0.26264953503719357,1,18,0.9473684210526314,0.9870371232446822,0.9858683165755766
31467,2026-03-26T01:50:00Z,2026-03-26T02:00:00Z,auth,auth,at://did:plc:oschakwegjlboctmgutqtyf6/app.bsky.feed.generator/aaacyaeibxzis,popular_by_likecount,post a non-religious picture you think of as holy,19,0.2559580248098155,1,18,0.9473684210526314,0.9870371232446822,0.9858683165755766
31429,2026-03-26T01:40:00Z,2026-03-26T01:50:00Z,unauth,unauth,at://did:plc:oschakwegjlboctmgutqtyf6/app.bsky.feed.generator/aaacyaeibxzis,popular_by_likecount,post a non-religious picture you think of as holy,19,0.26264953503719357,1,18,0.9473684210526314,0.9869797635796078,0.9858399440369975
31489,2026-03-26T02:00:00Z,2026-03-26T02:10:00Z,unauth,unauth,at://did:plc:oschakwegjlboctmgutqtyf6/app.bsky.feed.generator/aaacyaeibxzis,popular_by_likecount,post a non-religious picture you think of as holy,19,0.2559580248098155,1,18,0.9473684210526314,0.986946508800824,0.9857336041812561
31515,2026-03-26T02:00:00Z,2026-03-26T02:10:00Z,auth,auth,at://did:plc:oschakwegjlboctmgutqtyf6/app.bsky.feed.generator/aaacyaeibxzis,popular_by_likecount,post a non-religious picture you think of as holy,19,0.2559580248098155,1,18,0.9473684210526314,0.986946508800824,0.9857336041812561
