run_id,vantage_id,did,resolved_pds_host,resolution_method,did_doc_url,service_endpoint,error,captured_at_utc
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,did:plc:2gx2noukxzwmj6dkxbmh3qt5,https://morel.us-east.host.bsky.network,plc_directory,https://plc.directory/did:plc:2gx2noukxzwmj6dkxbmh3qt5,https://morel.us-east.host.bsky.network,,2026-04-03T08:26:17Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,did:plc:2gydz7pmbvdqqrfkofcerm3r,https://enoki.us-east.host.bsky.network,plc_directory,https://plc.directory/did:plc:2gydz7pmbvdqqrfkofcerm3r,https://enoki.us-east.host.bsky.network,,2026-04-03T08:26:17Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,did:plc:2hwwem55ce6djnk6bn62cstr,https://morel.us-east.host.bsky.network,plc_directory,https://plc.directory/did:plc:2hwwem55ce6djnk6bn62cstr,https://morel.us-east.host.bsky.network,,2026-04-03T08:26:17Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,did:plc:2iyfxldujafigjpfyzwykvhi,https://boletus.us-west.host.bsky.network,plc_directory,https://plc.directory/did:plc:2iyfxldujafigjpfyzwykvhi,https://boletus.us-west.host.bsky.network,,2026-04-03T08:26:18Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,did:plc:2lapejuqmdwkfr77i2xwkybe,https://phellinus.us-west.host.bsky.network,plc_directory,https://plc.directory/did:plc:2lapejuqmdwkfr77i2xwkybe,https://phellinus.us-west.host.bsky.network,,2026-04-03T08:26:19Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,did:plc:2lemmmczejwp4gqgkwj3hb2w,https://fuzzyfoot.us-west.host.bsky.network,plc_directory,https://plc.directory/did:plc:2lemmmczejwp4gqgkwj3hb2w,https://fuzzyfoot.us-west.host.bsky.network,,2026-04-03T08:26:19Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,did:plc:2lxwvzmftcmbclfhkc5pcyvd,https://lepista.us-west.host.bsky.network,plc_directory,https://plc.directory/did:plc:2lxwvzmftcmbclfhkc5pcyvd,https://lepista.us-west.host.bsky.network,,2026-04-03T08:26:20Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,did:plc:2n67y4ygoid7nwmv6ztxboeq,https://morel.us-east.host.bsky.network,plc_directory,https://plc.directory/did:plc:2n67y4ygoid7nwmv6ztxboeq,https://morel.us-east.host.bsky.network,,2026-04-03T08:26:21Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,did:plc:2nixn6wgg7xobpxsc2q4rofb,https://truffle.us-east.host.bsky.network,plc_directory,https://plc.directory/did:plc:2nixn6wgg7xobpxsc2q4rofb,https://truffle.us-east.host.bsky.network,,2026-04-03T08:26:21Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,did:plc:2o2a2o64ifzbxlxvi4zp6azr,https://scalycap.us-west.host.bsky.network,plc_directory,https://plc.directory/did:plc:2o2a2o64ifzbxlxvi4zp6azr,https://scalycap.us-west.host.bsky.network,,2026-04-03T08:26:21Z
